,id,description,direction_destinations,direction_names,long_name,short_name,type
85,67,Local Bus,"['Turkey Hill', 'Alewife Station']","['Outbound', 'Inbound']",Turkey Hill - Alewife Station,67,3
86,68,Local Bus,"['Harvard Square', 'Kendall/MIT Station']","['Outbound', 'Inbound']",Harvard Square - Kendall/MIT Station,68,3
87,69,Local Bus,"['Harvard Square', 'Lechmere Station']","['Outbound', 'Inbound']",Harvard Square - Lechmere Station,69,3
88,70,Local Bus,"['Market Place Drive or Waltham Center', 'University Park']","['Outbound', 'Inbound']",Market Place Drive or Waltham Center - University Park,70,3
89,71,Key Bus,"['Watertown Square', 'Harvard Station']","['Outbound', 'Inbound']",Watertown Square - Harvard Station,71,3
90,73,Key Bus,"['Waverley Square', 'Harvard Station']","['Outbound', 'Inbound']",Waverley Square - Harvard Station,73,3
91,74,Local Bus,"['Belmont Center', 'Harvard']","['Outbound', 'Inbound']",Belmont Center - Harvard via Concord Avenue,74,3
92,75,Local Bus,"['Belmont Center', 'Harvard']","['Outbound', 'Inbound']",Belmont Center - Harvard via Huron Avenue,75,3
93,76,Local Bus,"['Lincoln Lab', 'Alewife Station']","['Outbound', 'Inbound']",Lincoln Lab - Alewife Station,76,3
94,77,Key Bus,"['Arlington Heights', 'Harvard Station']","['Outbound', 'Inbound']",Arlington Heights - Harvard Station,77,3
95,78,Local Bus,"['Arlmont Village', 'Harvard Station']","['Outbound', 'Inbound']",Arlmont Village - Harvard Station,78,3
96,80,Local Bus,"['Arlington Center', 'Lechmere Station']","['Outbound', 'Inbound']",Arlington Center - Lechmere Station,80,3
97,83,Local Bus,"['Rindge Avenue', 'Central Square, Cambridge']","['Outbound', 'Inbound']","Rindge Avenue - Central Square, Cambridge",83,3
98,85,Local Bus,"['Spring Hill', 'Kendall/MIT Station']","['Outbound', 'Inbound']",Spring Hill - Kendall/MIT Station,85,3
99,86,Local Bus,"['Sullivan Square Station', 'Reservoir Station']","['Outbound', 'Inbound']",Sullivan Square Station - Reservoir Station,86,3
100,87,Local Bus,"['Clarendon Hill or Arlington Center', 'Lechmere Station']","['Outbound', 'Inbound']",Clarendon Hill or Arlington Center - Lechmere Station,87,3
101,88,Local Bus,"['Clarendon Hill', 'Lechmere Station']","['Outbound', 'Inbound']",Clarendon Hill - Lechmere Station,88,3
102,89,Local Bus,"['Clarendon Hill or Davis Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Clarendon Hill or Davis Station - Sullivan Square Station,89,3
103,90,Local Bus,"['Davis Station', 'Assembly Row']","['Outbound', 'Inbound']",Davis Station - Assembly Row,90,3
104,91,Local Bus,"['Sullivan Square Station', 'Central Square, Cambridge']","['Outbound', 'Inbound']","Sullivan Square Station - Central Square, Cambridge",91,3
105,92,Local Bus,"['Sullivan Square Station', 'Downtown']","['Outbound', 'Inbound']",Sullivan Square Station - Downtown via Main Street,92,3
106,93,Local Bus,"['Sullivan Square Station', 'Downtown']","['Outbound', 'Inbound']",Sullivan Square Station - Downtown via Bunker Hill Street,93,3
