,Unnamed: 0,id,stop_name,description,longitude,latitude,address,at_street,on_street,municipality,location_type,has_wheelchair_boarding,vehicle_type,neighborhood
2477,2477,782,Centre St Opp Mt Vernon St,,-71.157136,42.283083,,,Centre Street,Boston,0,1,3.0,West Roxbury
2478,2478,node-388-sl,South Station,South Station - Bottom of Escalator 388,,,,,,Boston,3,1,,
2480,2480,5864,Maverick St @ Cottage St,,-71.034615,42.368292,,Cottage Street,Maverick Street,Boston,0,1,3.0,East Boston
2481,2481,node-bomnl-pstair-lobby,Bowdoin,Bowdoin - Top of stairs between platform and lobby,,,,,,Boston,3,1,,
2483,2483,node-gover-sentrancestairs-platform,Government Center,Government Center - Bottom of stairs between plaza and Green Line,,,,,,Boston,3,1,,
2485,2485,2912,Columbia Rd @ Glendale St,,-71.068632,42.312642,,Glendale Street,Columbia Road,Boston,0,1,3.0,Dorchester
2486,2486,349,Dorchester Ave @ Hoyt St,,-71.058222,42.308242,,Hoyt Street,Dorchester Avenue,Boston,0,1,3.0,Dorchester
2488,2488,place-sbmnl,Stony Brook,,-71.104248,42.317062,"100 Boylston St, Jamaica Plain, MA",,,Boston,1,1,,Jamaica Plain
2493,2493,2910,Columbia Rd @ Dudley St,,-71.065045,42.317228,,Dudley Street,Columbia Road,Boston,0,1,3.0,Dorchester
2495,2495,node-416-platform,Courthouse,Courthouse - Bottom of escalator from South Station platform to exit-only gates,,,,,,Boston,3,1,,
2497,2497,10008,Albany St opp Randolph St,,-71.064356,42.339915,,,Albany Street,Boston,0,1,3.0,South End
2500,2500,475,Washington Street @ Four Corners / Geneva Station,,-71.078215,42.302806,,Eldon Street,Washington Street,Boston,0,1,3.0,Dorchester
2501,2501,29005,Sullivan Square,Sullivan Square - Upper Berth 5,-71.076519,42.384032,,,Busway,Boston,0,1,3.0,Charlestown
2506,2506,node-927-sl,South Station,South Station - Top of Elevator 927,,,,,,Boston,3,1,,
2507,2507,1760,Heath St opp VA Hospital,,-71.109123,42.327905,,,Heath Street,Boston,0,1,3.0,Mission Hill
2512,2512,node-420-rl,South Station,South Station - Bottom of Escalator 420,,,,,,Boston,3,1,,
2514,2514,185,Mattapan,Mattapan - North Busway,-71.092067,42.267715,,,,Boston,0,1,3.0,Mattapan
2515,2515,5871,Bennington St @ Prescott St,,-71.029571,42.378301,,Prescott Street,Bennington Street,Boston,0,1,3.0,East Boston
2523,2523,node-dwnxg-stair4-platform,Downtown Crossing,Downtown Crossing - Bottom of stairs between Alewife platform and Chauncy Street lobby,,,,,,Boston,3,1,,
2524,2524,30272,Farragut Rd @ Broadway,,-71.025028,42.336028,,East Broadway,Farragut Road,Boston,0,1,3.0,South Boston
2530,2530,51111,Mt Vernon St @ Bayside Expo Center,,-71.048754,42.320175,,,Mount Vernon Street,Boston,0,0,3.0,Dorchester
2532,2532,375,Talbot Ave @ Bernard St,,-71.079774,42.29255,,Bernard Street,Talbot Avenue,Boston,0,1,3.0,Dorchester
2533,2533,66434,Cummins Hwy @ Harmon St,,-71.101659,42.270475,,Harmon Street,Cummins Highway,Boston,0,1,3.0,Mattapan
2536,2536,2807,Poplar St @ Beech St,,-71.129374,42.273537,,Beech Street,Poplar Street,Boston,0,1,3.0,Roslindale
2537,2537,10006,Albany St opp E Newton St,,-71.070135,42.335814,,East Newton Street,Albany Street,Boston,0,1,3.0,South End
2538,2538,1381,W Dedham St @ Washington St,,-71.071104,42.340934,,Pelham Street,West Dedham Street,Boston,0,1,3.0,South End
2539,2539,Government Center-Brattle,Government Center,Government Center - Green Line - Loop Platform,-71.059215,42.359705,,,,Boston,0,1,0.0,Downtown
2541,2541,place-pktrm,Park Street,,-71.062424,42.356395,"Tremont St and Winter St, Boston, MA 02108",,,Boston,1,1,,Beacon Hill
2542,2542,1784,Ruggles St @ Huntington Ave,,-71.095079,42.337416,,,Ruggles Street,Boston,0,1,3.0,Mission Hill
2544,2544,5895,Orient Ave @ Faywood Ave,,-71.000096,42.389957,,Faywood Avenue,Orient Avenue,Boston,0,1,3.0,East Boston
2545,2545,1334,Humboldt Ave @ Humboldt Ct,,-71.086142,42.318292,,Munroe Street,Humboldt Avenue,Boston,0,1,3.0,Roxbury
2553,2553,1614,W Boundary Rd @ Georgetowne Dr,,-71.145549,42.259315,,Georgetowne Drive,West Boundary Road,Boston,0,1,3.0,West Roxbury
2555,2555,3068,Neponset Ave @ Victory Rd,,-71.054336,42.295775,,Victory Road,Neponset Avenue,Boston,0,1,3.0,Dorchester
2556,2556,9434,Park Dr @ Fenway Sta,,-71.104558,42.345304,,,Park Drive,Boston,0,1,3.0,Fenway
2557,2557,3070,Neponset Ave @ S Monroe Ter,,-71.050815,42.292893,,Popes Hill Street,Neponset Avenue,Boston,0,1,3.0,Dorchester
2558,2558,421,Talbot Ave opp Kerwin St,,-71.082315,42.293177,,Kerwin Street,Talbot Avenue,Boston,0,1,3.0,Dorchester
2560,2560,1398,W Dedham St @ Washington St,,-71.071385,42.340883,,,West Dedham Street,Boston,0,1,3.0,South End
2562,2562,424,Talbot Ave @ Colonial Ave,,-71.074625,42.290919,,Colonial Avenue,Talbot Avenue,Boston,0,1,3.0,Dorchester
2567,2567,11164,Centre St @ Burroughs St,,-71.1145,42.311466,,Burroughs Street,Centre Street,Boston,0,1,3.0,Jamaica Plain
2568,2568,1927,Jersey St @ Boylston St,,-71.097768,42.344478,,Boylston Street,Jersey Street,Boston,0,1,3.0,Fenway
2569,2569,11148,Malcolm X Blvd @ Madison Park HS,,-71.090588,42.331221,,King Street,Malcolm X Blvd,Boston,0,1,3.0,Roxbury
2572,2572,565,Geneva Ave @ Columbia Rd,,-71.078119,42.306001,,Brinsley Street,Geneva Avenue,Boston,0,1,3.0,Dorchester
2575,2575,node-ccmnl-933-lobby,Community College,Community College - Top of Elevator 933,,,,,,Boston,3,1,,
2576,2576,85563,Baker St @ VFW Pkwy,,-71.171457,42.287566,,Veterans Of Foreign Wars Parkway,Baker Street,Boston,0,1,3.0,West Roxbury
2586,2586,door-haecl-congress,"Haymarket - RMV, City Hall, Faneuil Hall Marketplace","Haymarket - RMV, City Hall, Faneuil Hall Marketplace",-71.057805,42.361977,,,,Boston,2,1,,Downtown
2587,2587,node-436-platform,Arlington,Arlington - Bottom of westbound escalator,,,,,,Boston,3,1,,
2590,2590,70004,Stony Brook,Stony Brook - Orange Line - Forest Hills,-71.104248,42.317062,,,,Boston,0,1,1.0,Jamaica Plain
2591,2591,2821,Main St @ Bunker Hill St,,-71.071852,42.383307,,Medford Street,Main Street,Boston,0,1,3.0,Charlestown
2593,2593,29007,Sullivan Square,Sullivan Square - Lower Berth 7,-71.076312,42.384358,,,Busway,Boston,0,1,3.0,Charlestown
2598,2598,5742,Meridian St @ Havre St,,-71.038958,42.372502,,Havre Street,Meridian Street,Boston,0,1,3.0,East Boston
2601,2601,8955,Turtle Pond Pkwy @ Fairview Ave,,-71.136749,42.246951,,,Turtle Pond Parkway,Boston,0,1,3.0,Hyde Park
2603,2603,door-babck-ebagganis,"Babcock Street - Harry Agganis Way, Pleasant St","Babcock Street - Harry Agganis Way, Pleasant St",-71.118712,42.351424,,,,Boston,2,1,,Allston
2606,2606,node-rugg-forsythstairs-bottom,Ruggles,Ruggles - Bottom of Forsyth Street entrance stairs,,,,,,Boston,3,1,,
2608,2608,node-prmnl-920ramp-platform,Prudential,Prudential - Bottom of ramp for elevator,,,,,,Boston,3,1,,
2609,2609,node-971-lobby,Kenmore,Kenmore - Top of westbound platform elevator,-71.095367,42.349006,,,,Boston,3,1,,Fenway
2611,2611,109802,Saratoga St @ Teragram St,,-70.999451,42.383937,,Teragram Street,Saratoga Street,Boston,0,1,3.0,East Boston
2613,2613,1396,Dartmouth St @ Tremont St,,-71.073849,42.342885,,Tremont Street,Dartmouth Street,Boston,0,1,3.0,South End
2614,2614,11587,Circuit Dr @ Glen Ln,,-71.094725,42.305236,,Pierpoint Road,Jewish War Veterans Drive,Boston,0,2,3.0,Roxbury
2616,2616,node-crtst-wtcexit-farepaid,Courthouse,Courthouse - Paid side of outbound exit-only gates,,,,,,Boston,3,1,,
2619,2619,Boat-Long,Long Wharf (North),Long Wharf (North) - Gate 5,-71.049976,42.360795,"Long Wharf near Christopher Columbus Park, Boston, MA 02110",,,Boston,0,1,4.0,Downtown
2623,2623,5217,Centre St @ South St,,-71.144881,42.288105,,South Street,Centre Street,Boston,0,1,3.0,Roslindale
2626,2626,1,Washington St opp Ruggles St,,-71.082754,42.330957,,Ruggles Street,Washington Street,Boston,0,1,3.0,Roxbury
2630,2630,1925,Kilmarnock St @ Queensberry St,,-71.099287,42.342318,,Queensberry Street,Kilmarnock Street,Boston,0,1,3.0,Fenway
2632,2632,1882,Weld St @ Russet Rd,,-71.152187,42.293036,,Russett Road,Weld Street,Boston,0,1,3.0,West Roxbury
2635,2635,10928,Harvard Ave @ Brighton Ave,,-71.132097,42.352614,,,Harvard Avenue,Boston,0,1,3.0,Allston
2639,2639,10923,Cummins Hwy @ Wood Ave,,-71.109187,42.274133,,Wood Avenue,Cummins Highway,Boston,0,1,3.0,Hyde Park
2642,2642,1344,Humboldt Ave @ ML King Blvd,,-71.086094,42.319441,,Martin Luther King Boulevard,Humboldt Avenue,Boston,0,1,3.0,Roxbury
2643,2643,node-sdmnl-pobstair-platform,Suffolk Downs,Suffolk Downs - Bottom of stairs for Wonderland platform,-70.99706,42.390504,,,,Boston,3,1,,East Boston
2645,2645,1587,Franklin Park Zoo @ Entrance,,-71.08595,42.303124,,,Franklin Park Service Road,Boston,0,0,3.0,Roxbury
2650,2650,15100,St Peters Sq @ Church,,-71.064371,42.308101,,Percival Street,Church Street,Boston,0,1,3.0,Dorchester
2651,2651,1520,Brookline Ave @ Park Dr,,-71.10228,42.343808,,Boylston Street,Brookline Avenue,Boston,0,1,3.0,Fenway
2653,2653,node-dwnxg-113fare-paid,Downtown Crossing,Downtown Crossing - Paid side of exit-only gate,,,,,,Boston,3,1,,
2656,2656,778,Spring St @ Powell St,,-71.162796,42.277517,,Powell Street,Spring Street,Boston,0,1,3.0,West Roxbury
2657,2657,node-prmnl-152stair-platform,Prudential,Prudential - Bottom of stairs to escalator,,,,,,Boston,3,1,,
2658,2658,6524,Alwin St @ Leighton Rd,,-71.14202,42.253652,,Leighton Road,Alwin Street,Boston,0,1,3.0,Hyde Park
2664,2664,6417,Truman Hwy @ Dana Ave,,-71.122439,42.249906,,Dana Avenue,Truman Highway,Boston,0,1,3.0,Hyde Park
2665,2665,80,Massachusetts Ave opp Christian Science Ctr,,-71.086458,42.344366,,,Massachusetts Avenue,Boston,0,1,3.0,Fenway
2668,2668,5737,Meridian St @ Havre St,,-71.039105,42.37203,,Havre Street,Meridian Street,Boston,0,1,3.0,East Boston
2670,2670,1330,Humboldt Ave @ Waumbeck St,,-71.088358,42.314457,,Waumbeck Street,Humboldt Avenue,Boston,0,1,3.0,Roxbury
2677,2677,588,River St opp Cedar St,,-71.074811,42.271295,,Cedar Street,River Street,Boston,0,1,3.0,Mattapan
2682,2682,5256,Centre St @ W Roxbury Pkwy,,-71.14698,42.287538,,West Roxbury Centre Street Rotary,Centre Street,Boston,0,1,3.0,West Roxbury
2683,2683,1737,Blue Hill Ave @ Harvard St,,-71.087487,42.29572,,Harvard Street,Blue Hill Avenue,Boston,0,1,3.0,Dorchester
2684,2684,node-aqucl-atlfareunpaid,Aquarium,Aquarium - Unpaid side of fare gates,,,,,,Boston,3,1,,
2685,2685,959,1079 Commonwealth Ave,,-71.123515,42.352224,,Alcorn Street,Commonwealth Avenue,Boston,0,1,3.0,Allston
2686,2686,277,E 8th St @ M St,,-71.033111,42.331537,,M Street,East Eighth Street,Boston,0,1,3.0,South Boston
2689,2689,318,Dorchester Ave @ Linden St,,-71.058836,42.306096,,Linden Street,Dorchester Avenue,Boston,0,1,3.0,Dorchester
2690,2690,node-bomnl-lobstair-lobby,Bowdoin,Bowdoin - Bottom of stairs between entrance and lobby,,,,,,Boston,3,1,,
2696,2696,772,Centre St opp Cass St,,-71.160229,42.274532,,,Centre Street,Boston,0,1,3.0,West Roxbury
2697,2697,528,Morton St @ Norfolk St,,-71.087316,42.281637,,Norfolk Street,Morton Street,Boston,0,1,3.0,Mattapan
2698,2698,1931,Ipswich St @ Boylston St,,-71.089362,42.346945,,Boylston Street,Ipswich Street,Boston,0,1,3.0,Fenway
2699,2699,42,E Broadway @ K St,,-71.037312,42.335626,,K Street,East Broadway,Boston,0,1,3.0,South Boston
2700,2700,70110,South Street,South Street - Green Line - Park Street & North,-71.157057,42.339371,,,,Boston,0,2,0.0,Brighton
2703,2703,node-asmnl-peanbstair-lobby,Ashmont,Ashmont - Top of stairs from Peabody Square to Alewife platform,-71.063944,42.285047,,,,Boston,3,1,,Dorchester
2710,2710,11257,Malcolm X Blvd @ King St,,-71.092692,42.331197,,King Street,Malcolm X Blvd,Boston,0,1,3.0,Roxbury
2715,2715,node-367-platform,Broadway,Broadway - Bottom of platform escalator,,,,,,Boston,3,1,,
2720,2720,11712,Blue Hill Ave @ Morton St,,-71.091674,42.284143,,Morton Street,Blue Hill Avenue,Boston,0,1,3.0,Mattapan
2722,2722,30294,250 Dorchester Avenue,,-71.057007,42.339299,"306 Northern Ave, Boston, MA 02210",,Dorchester Avenue,Boston,0,1,3.0,South Boston
2731,2731,node-144-platform,Back Bay,Back Bay - Bottom of Track 2 escalator,,,,,,Boston,3,1,,
2732,2732,5213,Anawan Ave @ Allenwood St,,-71.149252,42.283599,,Allenwood Street,Anawan Avenue,Boston,0,1,3.0,West Roxbury
2739,2739,71855,Stuart St @ Dartmouth St,,-71.076218,42.348245,,Dartmouth Street,Stuart Street,Boston,0,1,3.0,South End
2742,2742,1196,N Beacon St @ Cambridge St,,-71.138128,42.353748,,,North Beacon Street,Boston,0,1,3.0,Allston
2743,2743,17095,Terminal E - Arrivals Level,Terminal E - Silver Line - SL1 South Station,-71.020238,42.369344,"Terminal E Arrivals, Door E106, Boston Logan International Airport, Boston, MA 02128",,Logan Airport Terminal E,Boston,0,1,3.0,East Boston
2747,2747,node-state-water-farepaid,State,State - Paid side of fare gates,,,,,,Boston,3,1,,
2751,2751,620,Washington St @ Birchwood St,,-71.159317,42.259247,,Birchwood Street,Washington Street,Boston,0,1,3.0,West Roxbury
2752,2752,820,Charles River Loop,,-71.171963,42.271777,,,,Boston,0,2,3.0,West Roxbury
2754,2754,1787,Washington St @ Worcester St,,-71.075479,42.337524,"Washington St and Worcester Sq, Boston, MA",Worcester Square,Washington Street,Boston,0,1,3.0,South End
2758,2758,5893,Orient Ave @ Drumlin Rd,,-71.006555,42.390525,,Drumlin Road,Orient Avenue,Boston,0,1,3.0,East Boston
2763,2763,1777,Brookline Ave @ Pilgrim Rd,,-71.103831,42.342351,,Pilgrim Road,Brookline Avenue,Boston,0,1,3.0,Longwood
2769,2769,29049,South Bay Mall @ Allstate Rd,,-71.062473,42.326086,,,,Boston,0,1,3.0,Dorchester
2771,2771,FB-0095-04,Readville,Readville - Commuter Rail - Track 4,-71.133569,42.237769,,,,Boston,0,1,2.0,Hyde Park
2773,2773,node-sdmnl-benn-fareunpaid,Suffolk Downs,Suffolk Downs - Unpaid side of exit-only gates,-70.997026,42.390439,,,,Boston,3,1,,East Boston
2780,2780,1174,Washington St @ Circuit St,,-71.087772,42.325827,,Circuit Street,Washington Street,Boston,0,1,3.0,Roxbury
2791,2791,7094,Terminal C - Departures Level,,-71.017167,42.366635,,Airport Road - Departure Level,Logan Airport Terminal C,Boston,0,1,3.0,East Boston
2793,2793,26434,Cummins Hwy opp Calvary Cemetery,,-71.11479,42.27748,,Mount Calvary Road,Cummins Highway,Boston,0,1,3.0,Hyde Park
2794,2794,node-wimnl-obpaidstairs-platform,Wood Island,Wood Island - Bottom of stairs for Wonderland,-71.022762,42.379632,,,,Boston,3,1,,East Boston
2797,2797,5665,Bennington St @ Neptune Rd,,-71.025214,42.379968,,Neptune Road,Bennington Street,Boston,0,1,3.0,East Boston
2798,2798,332,Dorchester Ave @ Banton St,,-71.063639,42.288313,,Templeton Street,Dorchester Avenue,Boston,0,1,3.0,Dorchester
2801,2801,node-141-platform,Back Bay,Back Bay - Bottom of Orange Line platform west escalator,,,,,,Boston,3,1,,
2802,2802,8680,Adams St @ Centre St,,-71.056269,42.295291,,Centre Street,Adams Street,Boston,0,1,3.0,Dorchester
2808,2808,node-fldcr-alewstair-lobby,Fields Corner,Fields Corner - Bottom of stairs for Alewife platform,-71.061828,42.300016,,,,Boston,3,1,,Dorchester
2813,2813,node-spmnl-mfareunpaid,Science Park/West End,Science Park/West End - Unpaid side of fare gates,-71.067755,42.366854,,,,Boston,3,1,,West End
2816,2816,FB-0095-05,Readville,Readville - Commuter Rail - Track 5,-71.134295,42.237781,,,,Boston,0,1,2.0,Hyde Park
2817,2817,node-922-lobby,Chinatown,Chinatown - Bottom of Forest Hills elevator,-71.062935,42.352456,,,,Boston,3,1,,Downtown
2822,2822,6,Melnea Cass Blvd @ Harrison Ave,,-71.079576,42.332016,,Harrison Avenue,Melnea Cass Boulevard,Boston,0,1,3.0,Roxbury
2826,2826,door-amory-ebamory,Amory Street - Amory St,Amory Street - Amory St,-71.113863,42.350845,,,,Boston,2,1,,Allston
2831,2831,node-sstat-bldgstair-ground,South Station,South Station - Top of stairs for Commuter Rail concourse,,,,,,Boston,3,1,,
2832,2832,place-north,North Station,,-71.06129,42.365577,"135 Causeway St, Boston, MA 02114",,,Boston,1,1,,West End
2834,2834,node-smmnl-953-platform,Shawmut,Shawmut - Bottom of Alewife Elevator 953,-71.065707,42.29313,,,,Boston,3,1,,Dorchester
2837,2837,511,Washington St @ Gallivan Blvd,,-71.069699,42.279234,,Fendale Avenue,Washington Street,Boston,0,1,3.0,Dorchester
2840,2840,5882,Boardman St @ Saratoga St,,-71.008261,42.387324,,Ford Street,Boardman Street,Boston,0,1,3.0,East Boston
2844,2844,node-hymnl-fareunpaid,Hynes Convention Center,Hynes Convention Center - Unpaid side of fare gates,,,,,,Boston,3,1,,
2845,2845,1197,N Beacon St opp Saunders St,,-71.141495,42.354266,,Saunders Street,North Beacon Street,Boston,0,1,3.0,Brighton
2849,2849,node-orhte-obpaidstairs-bridge,Orient Heights,Orient Heights - Top of stairs for Wonderland,-71.004778,42.386819,,,,Boston,3,1,,East Boston
2851,2851,5091,E Newton St @ Harrison Ave,,-71.072068,42.337629,,Harrison Avenue,East Newton Street,Boston,0,1,3.0,South End
2853,2853,35236,Washington St @ School St,,-71.099496,42.314494,,School Street,Washington Street,Boston,0,1,3.0,Jamaica Plain
2854,2854,node-jfk-sydneysstair-lobby,JFK/UMass,JFK/UMass - Top of stairs between Sydney Street and lobby,-71.052554,42.319903,,,,Boston,3,1,,Dorchester
2859,2859,1593,Ruggles St @ Shawmut Ave,,-71.084203,42.332076,,Shawmut Avenue,Ruggles Street,Boston,0,1,3.0,Roxbury
2860,2860,place-mvbcl,Maverick,,-71.03953,42.369119,"Sumner St and Maverick Sq, East Boston, MA",,,Boston,1,1,,East Boston
2870,2870,node-pktrm-ebupassstairs-under,Park Street,Park Street - Bottom of elevator between Government Center & North side platform and passageway to Copley & West,,,,,,Boston,3,1,,
2873,2873,node-fldcr-ashstair-lobby,Fields Corner,Fields Corner - Bottom of stairs for Ashmont platform,-71.061828,42.300016,,,,Boston,3,1,,Dorchester
2878,2878,2937,Boston St @ Mayhew St,,-71.061132,42.321914,,Sexton Court,Boston Street,Boston,0,1,3.0,Dorchester
2879,2879,1740,Seaver St @ Elm Hill Ave,,-71.089319,42.307937,,Elm Hill Avenue,Seaver Street,Boston,0,1,3.0,Roxbury
2880,2880,913,Washington St @ Breck Ave,,-71.166553,42.350413,,Breck Avenue,Washington Street,Boston,0,1,3.0,Brighton
2891,2891,8328,1 W Milton St opp Ernest Ave,,-71.143445,42.240706,,Milton Street,West Milton Street,Boston,0,1,3.0,Hyde Park
2897,2897,node-907-passage,Haymarket,"Haymarket - Bottom of elevator between Oak Grove platform and Green Line, busway passageway",,,,,,Boston,3,1,,
2905,2905,179,Huntington Ave @ Ring Rd,,-71.079598,42.347288,,Ring Road,Huntington Avenue,Boston,0,1,3.0,Back Bay
2909,2909,146,Arlington St @ Isabella St,,-71.069533,42.34881,,Isabella Street,Arlington Street,Boston,0,1,3.0,South End
2913,2913,1299,Washington St opp Snow St,,-71.148213,42.346992,,Snow Street,Washington Street,Boston,0,1,3.0,Brighton
2916,2916,node-prmnl-prustair-lobby,Prudential,Prudential - Bottom of stairs between Prudential Center and lobby,,,,,,Boston,3,1,,
2918,2918,831,80 Stimson St,,-71.159719,42.260813,,Stimson Road,Stimson Street,Boston,0,1,3.0,West Roxbury
2921,2921,node-wtcst-wtctstairs-landing,World Trade Center,World Trade Center - Bottom of second flight of World Trade Center entrance stairs,,,,,,Boston,3,1,,
2928,2928,1363,Huntington Ave @ Fenwood Rd,,-71.105931,42.333665,,Wait Street,Huntington Avenue,Boston,0,1,3.0,Mission Hill
2933,2933,node-wtcst-ibstairs-platform,World Trade Center,World Trade Center - Bottom of inbound platform stairs,,,,,,Boston,3,1,,
2936,2936,21365,S Huntington Ave @ Huntington Ave,,-71.112061,42.331803,,Huntington Avenue,South Huntington Avenue,Boston,0,1,3.0,Mission Hill
2938,2938,17421,Seaver St opp Harold St,,-71.093668,42.312247,,Walnut Avenue,Seaver Street,Boston,0,1,3.0,Roxbury
2939,2939,2938,Boston St @ Dorset St,,-71.059813,42.324096,,Dorset Street,Boston Street,Boston,0,1,3.0,Dorchester
2940,2940,351,Dorchester Ave @ Savin Hill Ave,,-71.057141,42.312997,,Savin Hill Avenue,Dorchester Avenue,Boston,0,1,3.0,Dorchester
2942,2942,node-728-lobby,Ruggles,Ruggles - Top of Lower Busway Lane 1 elevator,-71.089127,42.336228,,,,Boston,3,1,,Roxbury
2951,2951,70260,Heath Street,Heath Street - Green Line,-71.110252,42.328316,,,,Boston,0,1,0.0,Jamaica Plain
2955,2955,node-934-lobby,World Trade Center,World Trade Center - Bottom of World Trade Center entrance elevator,,,,,,Boston,3,1,,
2958,2958,node-rugg-farepaid,Ruggles,Ruggles - Paid side of Orange Line faregates,,,,,,Boston,3,1,,
2963,2963,35,P St @ E Broadway,,-71.027246,42.335837,,East Broadway,P Street,Boston,0,1,3.0,South Boston
2966,2966,230,Commercial St @ Hanover St,,-71.052338,42.367193,,Hanover Street,Commercial Street,Boston,0,1,3.0,North End
2971,2971,76378,River St @ Webster St,,-71.11982,42.257442,,Webster Street,River Street,Boston,0,1,3.0,Hyde Park
2972,2972,64001,Highland St @ Warren Ave,,-71.115692,42.2515,,Warren Avenue,Highland Street,Boston,0,1,3.0,Hyde Park
2975,2975,node-979-gl,Park Street,Park Street - Top of elevator between Red Line and Copley & West platform,,,,,,Boston,3,1,,
2976,2976,node-830-lobby,JFK/UMass,"JFK/UMass - Top of elevator between Braintree, Alewife platform and lobby",-71.052273,42.320576,,,,Boston,3,1,,Dorchester
2982,2982,place-dwnxg,Downtown Crossing,,-71.060225,42.355518,"Washington St and Summer St, Boston, MA",,,Boston,1,1,,Downtown
2985,2985,NEC-2287-08,South Station,South Station - Commuter Rail - Track 8,-71.055081,42.351136,,,,Boston,0,1,2.0,Downtown
2992,2992,node-state-bowdoinramp-nbplatform,State,State - Bottom of ramp between Bowdoin platform and Oak Grove platform,,,,,,Boston,3,1,,
2993,2993,door-pktrm-tremstair,Park Street - Tremont St,Park Street - Tremont St,-71.062334,42.356069,,,,Boston,2,2,,Downtown
2995,2995,12836,Chelsea St @ Warren St,,-71.060233,42.372149,,Warren Street,Chelsea Street,Boston,0,1,3.0,Charlestown
2997,2997,node-sull-farepaid,Sullivan Square,Sullivan Square - Paid side of fare gates,,,,,,Boston,3,1,,
2999,2999,600,Washington St opp Granfield Ave,,-71.124116,42.290289,,Granfield Avenue,Washington Street,Boston,0,1,3.0,Roslindale
3001,3001,door-north-tdgarden,North Station - TD Garden passageway (Elevator),North Station - TD Garden passageway (Elevator),-71.060892,42.365833,,,,Boston,2,1,,West End
3002,3002,node-jfk-oldstaire-lobby,JFK/UMass,"JFK/UMass - Top of stairs between busway, Commuter Rail, Old Colony Avenue and Red Line",-71.051687,42.320784,,,,Boston,3,1,,Dorchester
3013,3013,node-rcmnl-847-platform,Roxbury Crossing,Roxbury Crossing - Bottom of Elevator 847,-71.095608,42.331244,,,,Boston,3,1,,Roxbury
3015,3015,29001,Sullivan Square,Sullivan Square - Upper Berth 1,-71.076463,42.384581,,,Busway,Boston,0,1,3.0,Charlestown
3018,3018,node-dwnxg-stair7-ol,Downtown Crossing,Downtown Crossing - Top of stairs between Oak Grove platform and Ashmont/Braintree platform,,,,,,Boston,3,1,,
3023,3023,6519,Turtle Pond Pkwy @ Alwin St,,-71.138901,42.253848,,,Turtle Pond Parkway,Boston,0,1,3.0,Hyde Park
3026,3026,node-coecl-977-platform,Copley,Copley - Bottom of westbound platform Elevator 977,-71.077661,42.350398,,,,Boston,3,1,,Back Bay
3030,3030,2939,Boston St @ Howell St,,-71.059106,42.325163,,West Howell Street,Boston Street,Boston,0,1,3.0,Dorchester
3033,3033,13121,Dewar St @ Dorchester Ave,,-71.057763,42.309967,,Dorchester Avenue,Dewar Street,Boston,0,1,3.0,Dorchester
3034,3034,node-147-lobby,Tufts Medical Center,Tufts Medical Center - Top of Escalator 147,,,,,,Boston,3,1,,
3042,3042,node-979-rl,Park Street,Park Street - Bottom of elevator between Red Line and Copley & West platform,,,,,,Boston,3,1,,
3043,3043,11413,Columbus Ave @ Walnut Ave,,-71.095355,42.313455,,Walnut Avenue,Columbus Avenue,Boston,0,1,3.0,Roxbury
3044,3044,323,Fields Corner,Fields Corner - Busway,-71.062219,42.299807,,Freeman Street,Busway,Boston,0,1,3.0,Dorchester
3045,3045,1067,Western Ave opp Genzyme,,-71.119704,42.364074,,,Western Avenue,Boston,0,1,3.0,Allston
3046,3046,door-sstat-summer,South Station - Summer St,South Station - Summer St,-71.054402,42.351787,,,,Boston,2,1,,Downtown
3049,3049,node-921-lobby,Prudential,Prudential - Top of elevator between Park Street & North platform and lobby,,,,,,Boston,3,1,,
3052,3052,node-723-bl,Government Center,Government Center - Bottom of elevator between Green Line and Blue Line,,,,,,Boston,3,1,,
3055,3055,place-DB-2230,Morton Street,,-71.085475,42.280994,"865 Morton St, Mattapan, MA 02126",,,Boston,1,1,,Dorchester
3057,3057,node-956-lobby,Airport,Airport - Bottom of Elevator 956,-71.030254,42.374094,,,,Boston,3,1,,East Boston
3058,3058,919,Washington St opp Waldo Terr,,-71.152193,42.349002,,Waldo Terrace,Washington Street,Boston,0,1,3.0,Brighton
3060,3060,node-965-entrance,Maverick,Maverick - Top of elevator between Maverick Square and lobby,-71.039577,42.369139,,,,Boston,3,1,,East Boston
3061,3061,256,W 7th St @ Dorchester St,,-71.049923,42.333612,,Dorchester Street,West Seventh Street,Boston,0,1,3.0,South Boston
3065,3065,node-wimnl-love-fareunpaid,Wood Island,Wood Island - Unpaid side of exit-only gates,-71.022953,42.379557,,,,Boston,3,1,,East Boston
3067,3067,14731,Bowdoin St @ Adams St,,-71.064051,42.308937,,Adams Street,Bowdoin Street,Boston,0,1,3.0,Dorchester
3068,3068,2849,Bunker Hill St @ Green St,,-71.062002,42.378716,,Green Street,Bunker Hill Street,Boston,0,1,3.0,Charlestown
3070,3070,node-147-platform,Tufts Medical Center,Tufts Medical Center - Bottom of Escalator 147,,,,,,Boston,3,1,,
3074,3074,1302,Harvard Ave @ Commonwealth Ave,,-71.131245,42.350621,,Commonwealth Avenue Frontage Road Westbound,Harvard Avenue,Boston,0,1,3.0,Allston
3076,3076,node-mvbcl-msqstair-lobby,Maverick,Maverick - Bottom of stairs between Maverick Square and lobby,,,,,,Boston,3,1,,
