route_id,stop_id,neighborhood
45,"[334, 371, 378, 383, 415, 419, 426, 1565, 1566, 1569, 1576, 1577, 1583, 1586, 11257, 17861, 17863, 21148, 64000]","['Dorchester', 'Dorchester', 'Dorchester', 'Dorchester', 'Roxbury', 'Dorchester', 'Dorchester', 'Roxbury', 'Dorchester', 'Dorchester', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Fenway', 'Roxbury', 'Roxbury', 'Roxbury']"
450,[117],['Downtown']
47,"[64, 150, 1779, 1804, 1809, 10006, 10008, 10011, 17861, 17863]","['Roxbury', 'South Boston', 'Mission Hill', 'Longwood', 'Fenway', 'South End', 'South End', 'South End', 'Fenway', 'Roxbury']"
50,"[636, 2789, 2796, 2805, 2812, 6022, 36466]","['Roslindale', 'Hyde Park', 'Roslindale', 'Roslindale', 'Hyde Park', 'Roslindale', 'Hyde Park']"
"50
",[10642],['Jamaica Plain']
501,"[178, 994, 1994, 6550, 6551, 6555, 71855]","['Back Bay', 'Brighton', 'Brighton', 'Downtown', 'Downtown', 'Downtown', 'South End']"
504,"[178, 6550, 6551, 6555, 71855]","['Back Bay', 'Downtown', 'Downtown', 'Downtown', 'South End']"
505,"[6550, 6551, 6555, 16535]","['Downtown', 'Downtown', 'Downtown', 'Downtown']"
51,"[602, 636, 926, 964, 966, 1026, 1084, 1839, 1853, 1875, 1888, 10642]","['Roslindale', 'Roslindale', 'Allston', 'Allston', 'Brighton', 'Brighton', 'Brighton', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'Jamaica Plain']"
52,"[774, 818, 820, 8394, 85565]","['West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury', 'West Roxbury']"
55,"[178, 1926, 11391]","['Back Bay', 'Fenway', 'Back Bay']"
57,"[899, 912, 913, 918, 922, 925, 926, 931, 954, 959, 966, 973, 979, 1518, 1779, 1784, 1807, 9780, 11780, 17861]","['Fenway', 'Brighton', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Allston', 'Allston', 'Fenway', 'Allston', 'Brighton', 'Brighton', 'Brighton', 'Fenway', 'Mission Hill', 'Mission Hill', 'Fenway', 'Brighton', 'Longwood', 'Fenway']"
60,"[899, 1518, 1521, 1563, 1804]","['Fenway', 'Fenway', 'Mission Hill', 'Fenway', 'Longwood']"
64,"[1110, 1116, 1190, 1195, 1214]","['Brighton', 'Allston', 'Allston', 'Allston', 'Brighton']"
65,"[899, 1026, 1518, 1521, 1563, 1804, 1994]","['Fenway', 'Brighton', 'Fenway', 'Mission Hill', 'Fenway', 'Longwood', 'Brighton']"
66,"[390, 395, 407, 412, 912, 918, 922, 925, 926, 966, 973, 994, 1111, 1302, 1317, 1323, 1357, 1362, 1378, 1565, 2553, 2561, 9780, 21148, 40001, 64000]","['Roxbury', 'Roxbury', 'Roxbury', 'Roxbury', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Allston', 'Brighton', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Mission Hill', 'Roxbury', 'Roxbury', 'Mission Hill', 'Allston', 'Roxbury', 'Allston', 'Allston', 'Brighton', 'Roxbury', 'Roxbury', 'Roxbury']"
70,"[1043, 1051, 1070, 1077]","['Brighton', 'Allston', 'Allston', 'Brighton']"
743,"[892, 7096, 7097, 17096, 74611, 74612, 74613, 74614, 74615, 74616, 74617, 74624]","['Downtown', 'East Boston', 'East Boston', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront']"
746,"[74611, 74612, 74613, 74614, 74615, 74616, 74617, 74624]","['Downtown', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront']"
86,"[1026, 1043, 1077, 1084, 2553, 2561, 29001, 29005]","['Brighton', 'Brighton', 'Brighton', 'Brighton', 'Allston', 'Allston', 'Charlestown', 'Charlestown']"
89,"[29001, 29011]","['Charlestown', 'Charlestown']"
90,[29001],['Charlestown']
91,"[29001, 29006]","['Charlestown', 'Charlestown']"
92,"[117, 2821, 2835, 6548, 28281, 29001, 29009, 32840]","['Downtown', 'Charlestown', 'Charlestown', 'Downtown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown']"
93,"[117, 2844, 2850, 2855, 2867, 6548, 12829, 12836, 29001, 29010]","['Downtown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown', 'Downtown', 'Charlestown', 'Charlestown', 'Charlestown', 'Charlestown']"
95,"[29001, 29003]","['Charlestown', 'Charlestown']"
CT2,"[1775, 1778, 1780, 1784, 1805, 1807, 1808, 1809, 9434, 11803, 17861, 17863, 29001, 29004, 31317, 71391, 91391]","['Fenway', 'Longwood', 'Mission Hill', 'Mission Hill', 'Longwood', 'Fenway', 'Fenway', 'Fenway', 'Fenway', 'Longwood', 'Fenway', 'Roxbury', 'Charlestown', 'Charlestown', 'Mission Hill', 'Longwood', 'Longwood']"
CT3,"[7, 13, 128, 1784, 1799, 1805, 5089, 11802, 11803, 17862, 17863, 30009, 77777]","['Roxbury', 'South Boston', 'Roxbury', 'Mission Hill', 'Fenway', 'Longwood', 'South End', 'Longwood', 'Longwood', 'Roxbury', 'Roxbury', 'Roxbury', 'Roxbury']"
SL1,"[892, 17091, 17093, 17094, 17095, 17096, 27092, 74611, 74612, 74613, 74614, 74615, 74616, 74617, 74624]","['Downtown', 'East Boston', 'East Boston', 'East Boston', 'East Boston', 'South Boston Waterfront', 'East Boston', 'Downtown', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront']"
SL2,"[30250, 31255, 74611, 74612, 74613, 74614, 74615, 74616, 74617, 74624]","['South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'South Boston Waterfront', 'Downtown', 'South Boston Waterfront']"
SL4,"[5, 55, 64, 5095, 5098, 6538, 6565, 49002]","['South End', 'Roxbury', 'Roxbury', 'South End', 'South End', 'Downtown', 'Chinatown', 'Downtown']"
SL5,"[5, 55, 64, 5095, 5098, 6565, 49001, 49002]","['South End', 'Roxbury', 'Roxbury', 'South End', 'South End', 'Chinatown', 'Downtown', 'Downtown']"
