stop_id,latitude,longitude,zip_code
36541,42.343942,-71.065731,02118
36618,42.17152,-71.209497,02062
37150,42.524466,-70.895998,01970
38155,42.336666,-71.253304,02466
38493,42.223852,-70.996636,02184
38671,42.207213,-71.001278,02184
38813,42.279443,-71.048564,02124
39321,42.241847,-70.983929,02169
39401,42.242281,-70.983694,02169
39683,42.224587,-70.99652,02184
39870,42.106726,-71.022045,02302
40001,42.325557,-71.083487,02119
41187,42.309302,-71.1048,02130
41391,42.340553,-71.088908,02115
41692,42.493735,-71.194221,01803
42819,42.237502,-71.132696,02136
42820,42.243524,-71.131891,02136
43011,42.201087,-71.06251,02368
45002,42.417653,-71.106038,02155
45003,42.418173,-71.106435,02155
45331,42.418111,-71.065605,02148
45413,42.41821,-71.065671,02148
47170,42.557797,-70.887236,01915
49001,42.355385,-71.062211,02108
49002,42.349908,-71.063684,02116
49158,42.408357,-71.091567,02155
49795,42.518393,-71.252377,01730
49797,42.516176,-71.250897,01730
49805,42.488073,-71.223178,01803
49806,42.496188,-71.232269,01803
49808,42.484867,-71.217131,01803
49842,42.479617,-71.117154,01801
49848,42.487986,-71.225332,01803
49901,42.479826,-71.117201,01801
49917,42.479098,-71.151629,01801
49927,42.468052,-71.178464,01801
49950,42.511785,-71.23247,01821
49999,42.497147,-71.126538,01801
50619,42.218686,-71.188179,02090
50940,42.485186,-71.216745,01803
51317,42.337711,-71.095172,02115
53270,42.426565,-71.074107,02148
56734,42.47012,-70.986748,01905
57400,42.36907,-71.039473,02128
58618,42.192493,-71.201766,02062
60618,42.196255,-71.199468,02062
61848,42.171325,-71.209502,02062
61857,42.191262,-71.20237,02062
63241,42.417797,-71.108534,02155
64000,42.329544,-71.083982,02119
64002,42.328842,-71.084633,02119
65471,42.357732,-71.057373,02109
65541,42.345765,-71.233474,02465
65547,42.347531,-71.245414,02466
65741,42.329401,-71.11093,02130
66731,42.462577,-70.948082,01901
67120,42.28101,-71.177035,02132
67202,42.489296,-71.019775,01906
69618,42.248262,-71.173256,02026
70618,42.25058,-71.170267,02026
71391,42.337684,-71.096046,02115
71855,42.348245,-71.076218,02116
73619,42.159136,-71.21835,02032
74611,42.352271,-71.055242,02111
74612,42.35245,-71.04685,02210
74613,42.34863,-71.04246,02210
74614,42.347241,-71.038801,02210
74615,42.34863,-71.04246,02210
74616,42.35245,-71.04685,02210
74617,42.352271,-71.055242,02111
74624,42.347066,-71.037969,02210
74630,42.396661,-71.04029,02150
74631,42.39682,-71.040437,02150
74632,42.395328,-71.033291,02150
74633,42.395638,-71.034599,02150
74634,42.394018,-71.028439,02150
74635,42.394168,-71.028452,02150
74636,42.388403,-71.02409,02150
74637,42.388476,-71.023829,02150
77777,42.332906,-71.081253,02119
78201,42.357685,-71.239754,02466
