trip_id,trip_property_id,value
58772641,note,Waits at Back Bay for last Orange Line train
58772641,trip_type,wait
58772816,note,Waits at South Station for last Red Line train
58772816,trip_type,wait
58776902,note,Waits at South Station for last Red Line train
58776902,trip_type,wait
58777073,note,Waits at Ruggles for last Orange Line train
58777073,trip_type,wait
58777075,note,Waits at Mattapan for last Mattapan Trolley train
58777075,trip_type,wait
58777079,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58777079,trip_type,wait
58777800,note,Waits at Back Bay for last Orange Line train
58777800,trip_type,wait
58777991,note,Waits at South Station for last Red Line train
58777991,trip_type,wait
58779918,note,Waits at Mattapan for last Mattapan Trolley train
58779918,note,Waits at Ashmont for last Red Line train
58779918,trip_type,wait
58780217,note,Waits at Forest Hills for last Orange Line train
58780217,trip_type,wait
58780705,note,Waits at Forest Hills for last Orange Line train
58780705,trip_type,wait
58780835,note,Waits at Ashmont for last Red Line train
58780835,trip_type,wait
58780850,note,Waits at Forest Hills for last Orange Line train
58780850,trip_type,wait
58781218,note,Waits at Forest Hills for last Orange Line train
58781218,trip_type,wait
58789215,note,Waits at Forest Hills for last Orange Line train
58789215,trip_type,wait
58789453,note,Waits at Forest Hills for last Orange Line train
58789453,trip_type,wait
58789531,note,Waits at Forest Hills for last Orange Line train
58789531,trip_type,wait
58789752,note,Waits at Forest Hills for last Orange Line train
58789752,trip_type,wait
58791350,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58791350,trip_type,wait
58791481,note,Waits at Mattapan for last Mattapan Trolley train
58791481,trip_type,wait
58791501,note,Waits at Ruggles for last Orange Line train
58791501,trip_type,wait
58791732,note,Waits at South Station for last Red Line train
58791732,trip_type,wait
58792037,note,Waits at Back Bay for last Orange Line train
58792037,trip_type,wait
58792286,note,Waits at South Station for last Red Line train
58792286,trip_type,wait
58798321,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58798321,trip_type,wait
58798452,note,Waits at Mattapan for last Mattapan Trolley train
58798452,trip_type,wait
58798472,note,Waits at Ruggles for last Orange Line train
58798472,trip_type,wait
58798656,note,Waits at South Station for last Red Line train
58798656,trip_type,wait
58798955,note,Waits at Back Bay for last Orange Line train
58798955,trip_type,wait
58799512,note,Waits at South Station for last Red Line train
58799512,trip_type,wait
58802873,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
58802873,trip_type,wait
58803004,note,Waits at Mattapan for last Mattapan Trolley train
58803004,trip_type,wait
58803024,note,Waits at Ruggles for last Orange Line train
58803024,trip_type,wait
58803255,note,Waits at South Station for last Red Line train
58803255,trip_type,wait
58803560,note,Waits at Back Bay for last Orange Line train
58803560,trip_type,wait
58803809,note,Waits at South Station for last Red Line train
58803809,trip_type,wait
58848245,note,Waits at Government Center for last Green Line train
58848245,note,Waits at State for last Orange Line train
58848245,trip_type,wait
58848285,note,Waits at some downtown stations for connections
58848285,trip_type,wait
58864694,note,Waits at Government Center for last Green Line train
58864694,note,Waits at State for last Orange Line train
58864694,trip_type,wait
58864697,note,Waits at some downtown stations for connections
58864697,trip_type,wait
58864923,note,Waits at some downtown stations for connections
58864923,trip_type,wait
58864944,note,Waits at Government Center for last Green Line train
58864944,note,Waits at State for last Orange Line train
58864944,trip_type,wait
58865399,note,Waits at Government Center for last Green Line train
58865399,note,Waits at State for last Orange Line train
58865399,trip_type,wait
58865402,note,Waits at some downtown stations for connections
58865402,trip_type,wait
58870519,note,Waits at Mattapan for last Mattapan Trolley train
58870519,note,Waits at Ashmont for last Red Line train
58870519,trip_type,wait
58870818,note,Waits at Forest Hills for last Orange Line train
58870818,trip_type,wait
58871378,note,Waits at Ashmont for last Red Line train
58871378,trip_type,wait
58871393,note,Waits at Forest Hills for last Orange Line train
58871393,trip_type,wait
58871746,note,Waits at Forest Hills for last Orange Line train
58871746,trip_type,wait
58871869,note,Does not run during school vacation
58871869,trip_type,supplemental
58871874,note,Does not run during school vacation
58871874,trip_type,supplemental
58871875,note,Does not run during school vacation
58871875,trip_type,supplemental
58871876,note,Does not run during school vacation
58871876,trip_type,supplemental
58871877,note,Does not run during school vacation
58871877,trip_type,supplemental
58871878,note,Does not run during school vacation
58871878,trip_type,supplemental
58871879,note,Does not run during school vacation
58871879,trip_type,supplemental
58871880,note,Does not run during school vacation
58871880,trip_type,supplemental
58871881,note,Does not run during school vacation
58871881,trip_type,supplemental
58871882,note,Does not run during school vacation
58871882,trip_type,supplemental
58871883,note,Does not run during school vacation
58871883,trip_type,supplemental
58871885,note,Does not run during school vacation
58871885,trip_type,supplemental
58871886,note,Does not run during school vacation
58871886,trip_type,supplemental
58871888,note,Does not run during school vacation
58871888,trip_type,supplemental
58871889,note,Does not run during school vacation
58871889,trip_type,supplemental
58871890,note,Does not run during school vacation
58871890,trip_type,supplemental
58871892,note,Does not run during school vacation
58871892,trip_type,supplemental
58871895,note,Does not run during school vacation
58871895,trip_type,supplemental
58871896,note,Does not run during school vacation
58871896,trip_type,supplemental
58871897,note,Does not run during school vacation
58871897,trip_type,supplemental
58871898,note,Does not run during school vacation
58871898,trip_type,supplemental
58871899,note,Does not run during school vacation
58871899,trip_type,supplemental
58871904,note,Does not run during school vacation
58871904,trip_type,supplemental
58871905,note,Does not run during school vacation
58871905,trip_type,supplemental
58871907,note,Does not run during school vacation
58871907,trip_type,supplemental
58871908,note,Does not run during school vacation
58871908,trip_type,supplemental
58872002,note,Waits at Forest Hills for last Orange Line train
58872002,trip_type,wait
58876522,note,Waits at Orient Heights for last Blue Line train
58876522,trip_type,wait
58876523,note,Will go to Point Shirley if requested
58876681,note,Waits at Orient Heights for last Blue Line train
58876681,trip_type,wait
58876865,note,Waits at Orient Heights for last Blue Line train
58876865,trip_type,wait
58877032,note,Waits at Orient Heights for last Blue Line train
58877032,trip_type,wait
58877300,note,Waits at Orient Heights for last Blue Line train
58877300,trip_type,wait
58877301,note,Will go to Point Shirley if requested
59095669,note,Waits at some downtown stations for connections
59095669,trip_type,wait
59095730,note,Waits at some downtown stations for connections
59095730,trip_type,wait
59096005,note,Waits at some downtown stations for connections
59096005,trip_type,wait
59096112,note,Waits at some downtown stations for connections
59096112,trip_type,wait
59096316,note,Waits at some downtown stations for connections
59096316,trip_type,wait
59096317,note,Waits at some downtown stations for connections
59096317,trip_type,wait
59096555,note,Waits at some downtown stations for connections
59096555,trip_type,wait
59096556,note,Waits at some downtown stations for connections
59096556,trip_type,wait
59217649,note,Waits at Park Street for last Green Line train
59217649,note,Waits at Downtown Crossing for last Orange Line train
59217649,trip_type,wait
59217655,note,Waits at Downtown Crossing for last Orange Line train
59217655,note,Waits at Park Street for last Green Line train
59217655,trip_type,wait
59525305,note,Waits at JFK/UMass for last Red Line train
59525305,trip_type,wait
59525574,note,Waits at JFK/UMass for last Red Line train
59525574,trip_type,wait
59526177,note,Waits at JFK/UMass for last Red Line train
59526177,trip_type,wait
59548216,note,Waits at Downtown Crossing for last Orange Line train
59548216,note,Waits at Park Street for last Green Line train
59548216,trip_type,wait
59548217,note,Waits at Park Street for last Green Line train
59548217,note,Waits at Downtown Crossing for last Orange Line train
59548217,trip_type,wait
59548334,note,Waits at Downtown Crossing for last Orange Line train
59548334,note,Waits at Park Street for last Green Line train
59548334,trip_type,wait
59548410,note,Waits at Park Street for last Green Line train
59548410,note,Waits at Downtown Crossing for last Orange Line train
59548410,trip_type,wait
CR-627633-167,note,Waits at Salem for Train 125
CR-627633-167,trip_type,wait
CR-627952-635,note,Waits at Forest Hills for Train 841
CR-627952-635,trip_type,wait
CR-628066-067,note,Waits at Braintree for Train 031
CR-628066-067,trip_type,wait
CR-627953-633,note,Waits at Forest Hills for Train 839
CR-627953-633,trip_type,wait
CR-628498-2057,note,Waits at Braintree for Train 2021
CR-628498-2057,trip_type,wait
CR-628340-1057,note,Waits at Braintree for Train 1021
CR-628340-1057,trip_type,wait
58397529-GovtCtrNorthStaGovtMedSuspendD,note,Waits at Park Street for last Red Line and Green Line trains
58397529-GovtCtrNorthStaGovtMedSuspendD,trip_type,wait
58397591-GovtCtrNorthStaGovtMedSuspendD,note,Waits at Park Street for last Red Line and Green Line trains
58397591-GovtCtrNorthStaGovtMedSuspendD,trip_type,wait
58398413-GovtCtrNorthStaGovtMedSuspendD0,note,Waits at Park Street for last Red Line and Green Line trains
58398413-GovtCtrNorthStaGovtMedSuspendD0,trip_type,wait
58398413-GovtCtrNorthStaGovtMedSuspendD2,note,Waits at Park Street for last Red Line and Green Line trains
58398413-GovtCtrNorthStaGovtMedSuspendD2,trip_type,wait
58398490-GovtCtrNorthStaGovtMedSuspendD0,note,Waits at Park Street for last Red Line and Green Line trains
58398490-GovtCtrNorthStaGovtMedSuspendD0,trip_type,wait
58398490-GovtCtrNorthStaGovtMedSuspendD2,note,Waits at Park Street for last Red Line and Green Line trains
58398490-GovtCtrNorthStaGovtMedSuspendD2,trip_type,wait
58398549-GovtCtrNorthStaGovtMedSuspendD0,note,Waits at Park Street for last Red Line and Green Line trains
58398549-GovtCtrNorthStaGovtMedSuspendD0,trip_type,wait
58398549-GovtCtrNorthStaGovtMedSuspendD2,note,Waits at Park Street for last Red Line and Green Line trains
58398549-GovtCtrNorthStaGovtMedSuspendD2,trip_type,wait
58397680-GovtCtrNorthStaGovtMedSuspendD0,note,Waits at Park Street for last Red Line and Green Line trains
58397680-GovtCtrNorthStaGovtMedSuspendD0,trip_type,wait
58397680-GovtCtrNorthStaGovtMedSuspendD2,note,Waits at Park Street for last Red Line and Green Line trains
58397680-GovtCtrNorthStaGovtMedSuspendD2,trip_type,wait
58397671-GovtCtrNorthStaGovtMedSuspendD0,note,Waits at Park Street for last Red Line and Green Line trains
58397671-GovtCtrNorthStaGovtMedSuspendD0,trip_type,wait
58397671-GovtCtrNorthStaGovtMedSuspendD2,note,Waits at Park Street for last Red Line and Green Line trains
58397671-GovtCtrNorthStaGovtMedSuspendD2,trip_type,wait
58646174-HayOL,note,Waits at State for last Blue Line train
58646174-HayOL,note,Waits at Downtown Crossing for last Red Line train
58646174-HayOL,trip_type,wait
58646293-HayOL,note,Waits at Downtown Crossing for last Red Line train
58646293-HayOL,trip_type,wait
