FID,Shape_Leng,shape_id,route_id,agency_id,route_shor,route_long,route_desc,route_type,route_url,route_colo,route_text,route_sort,route_fare,line_id,listed_rou,route_ty_1,Shape__Length
62,0.145531878481,1129916815,d61640c8,1,59,modified - WF+ (Needham Junction-Newton Highlands-Watertown Square), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,19724.226034783
63,0.139707604135,1129916816,2ef5e4b5,1,60,modified - MF (Newton Common-Chestnut Hill-Brookline Village-Fenway), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,16987.7348697851
64,0.130806400137,1129916817,2ef5e4b5,1,60,modified - MF (Newton Common-Chestnut Hill-Brookline Village-Fenway), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,16246.1903295006
65,0.0826449825556,1129916818,5f6ef0b7,1,19,modified - MF (Fields Corner-Franklin Park-Ruggles), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,10562.4231894159
66,0.0844467050374,1129916819,5f6ef0b7,1,19,modified - MF (Fields Corner-Franklin Park-Ruggles), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,10587.2962027947
67,0.123045404366,1129916820,366e95c9,1,230,modified - WF+ (Montello-Holbrook-Braintree), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,17365.8296318505
68,0.126758981048,1129916821,366e95c9,1,230,modified - WF+ (Montello-Holbrook-Braintree), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,17844.260631552
69,0.062493086758,1129916822,5fb62b95,1,225,- WF+ (Quincy Center-Quincy Ave-Weymouth Landing), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,8056.28661257052
70,0.0869774228558,1129916823,5fb62b95,1,225,- WF+ (Quincy Center-Quincy Ave-Weymouth Landing), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,11428.3053724666
71,0.12302014976,1129916824,3cfa799a,1,238,modified - WF+ (Holbrook/Randolph-Quincy Adams), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,16362.3019985849
72,0.141923714835,1129916825,3cfa799a,1,238,modified - WF+ (Holbrook/Randolph-Quincy Adams), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,18171.925088105
73,0.147019531932,1129916826,f2e93aea,1,245,- WF (Quincy-Milton-Mattapan), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,17974.2841779854
74,0.144640683572,1129916827,f2e93aea,1,245,- WF (Quincy-Milton-Mattapan), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,17627.4370641982
75,0.0985263912324,1129916828,859cc741,1,451,modified - YF (Beverly), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,11491.2801206346
76,0.100414649933,1129916829,859cc741,1,451,modified - YF (Beverly), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,11903.9481271455
77,0.187308615083,1129916830,9b55e1fe,1,442,modified - MF (Marblehead-Swampscott-Wonderland), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,23549.6305888751
78,0.199863632799,1129916831,9b55e1fe,1,442,modified - MF (Marblehead-Swampscott-Wonderland), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,25158.1845021656
79,0.232652571866,1129916832,701a448a,1,436,modified - WF+ (Liberty Tree Mall-Lynnfield-Lynn), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,29062.0457238943
80,0.220706415589,1129916833,701a448a,1,436,modified - WF+ (Liberty Tree Mall-Lynnfield-Lynn), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,27682.3842176134
81,0.258611902856,1129916834,c4bc3d86,1,435,modified - MF (Salem Depot-Peabody-Lynn), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,32842.689641928
82,0.264190821362,1129916835,c4bc3d86,1,435,modified - MF (Salem Depot-Peabody-Lynn), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,33602.1078786056
83,0.160807193146,1129916836,70f3b30f,1,426,modified - MF (Lynn-Saugus-Wonderland), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,20050.9163509927
84,0.153995525162,1129916837,70f3b30f,1,426,modified - MF (Lynn-Saugus-Wonderland), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,19238.0935941123
85,0.140884372228,1129916838,23c7d321,1,429,modified - MF (Lynnfield-Lynn), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,18165.5055447522
86,0.141664237588,1129916839,23c7d321,1,429,modified - MF (Lynnfield-Lynn), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,18302.4871698838
87,0.156781378016,1129916840,e64dd05a,1,52,modified - WF+ (Charles River Loop-Newton Center-Watertown), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,21022.5931674045
88,0.160406227898,1129916841,e64dd05a,1,52,modified - WF+ (Charles River Loop-Newton Center-Watertown), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,21461.344697359
89,0.106124628339,1129916842,5aa28a07,1,14,modified - MF (Cleary Sq-American Legion Hwy-Nubian), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,14301.9560762442
